time,lat,lng,demand
"07:00",24.777,120.987,1
"07:00",25.069,121.289,1
"07:00",25.05,121.543,1
"07:00",25.076,121.384,1
"07:00",24.198,120.691,1
"07:00",24.832,121.015,1
"07:00",24.96,121.3,1
"07:00",24.914,121.187,1
"07:00",24.983,121.451,1
"07:00",24.822,121.028,1
"07:00",25.045,121.522,1
"07:00",24.791,121.013,1
"07:00",24.226,120.568,1
"07:00",25.063,121.631,1
"07:00",25.012,121.487,1
"07:00",25.057,121.614,1
"07:00",25.048,121.586,1
"07:00",22.64,120.295,1
"07:00",25.073,121.578,1
"07:00",24.995,121.491,1
"07:00",25.031,121.416,1
"07:00",25.087,121.695,1
"07:00",23.108,120.302,1
"05:00",22.57,120.341,1
"05:00",24.952,121.346,1
"05:00",22.616,120.301,1
"05:00",25.062,121.493,1
"05:00",24.218,120.571,1
"05:00",22.64,120.332,1
"05:00",25.013,121.206,1
"05:00",25.068,121.585,1
"05:00",25.024,121.458,1
"05:00",24.145,120.639,1
"05:00",25.067,121.29,1
"05:00",24.99,121.307,1
"05:00",22.72,120.28,1
"05:00",25.11,121.538,1
"05:00",25.016,121.402,1
"05:00",22.583,120.317,1
"05:00",23.002,120.188,1
"05:00",24.167,120.666,1
"05:00",25.064,121.66,1
"05:00",24.249,120.72,1
"05:00",25.077,121.38,1
"05:00",25.022,121.432,1
"05:00",25.058,121.545,1
"05:00",22.615,120.347,1
"05:00",25.003,121.485,1
"05:00",24.941,121.38,1
"05:00",25.184,121.422,1
"05:00",24.819,121.028,1
"05:00",24.95,121.388,1
"05:00",25.062,121.556,1
"05:00",25.038,121.576,1
"05:00",24.969,121.261,1
"05:00",24.989,121.539,1
"05:00",25.047,121.542,1
"05:00",22.614,120.302,1
"05:00",24.853,121.283,1
"05:00",22.643,120.332,1
"05:00",25.019,121.555,1
"05:00",22.668,120.295,1
"05:00",24.977,121.32,1
"05:00",22.661,120.301,1
"05:00",24.104,120.689,1
"05:00",24.955,121.239,1
"05:00",25.005,121.415,1
"05:00",25.082,121.483,1
"05:00",24.966,121.253,1
"05:00",24.956,121.352,1
