iRent平假日,經緯度後三位,小時,想租未租筆數,kepler_time
"假日","25.003,121.443",7,1,"07:00"
"假日","25.049,121.434",7,1,"07:00"
"假日","25.000,121.427",7,1,"07:00"
"假日","25.009,121.462",7,1,"07:00"
"假日","25.067,121.592",7,1,"07:00"
"假日","25.046,121.393",7,1,"07:00"
"假日","24.944,121.375",7,1,"07:00"
"假日","24.144,120.665",7,1,"07:00"
"假日","24.957,121.240",7,1,"07:00"
"假日","25.050,121.520",7,1,"07:00"
"假日","25.068,121.366",7,1,"07:00"
"假日","25.037,121.385",7,1,"07:00"
"假日","22.919,120.220",7,1,"07:00"
"假日","25.113,121.530",7,1,"07:00"
"假日","24.970,121.333",7,1,"07:00"
"假日","24.179,120.687",7,1,"07:00"
"假日","24.949,121.246",7,1,"07:00"
"假日","22.664,120.320",7,1,"07:00"
"假日","24.952,121.243",7,1,"07:00"
"假日","24.994,121.540",7,1,"07:00"
"假日","22.565,120.348",7,1,"07:00"
"假日","24.984,121.461",7,1,"07:00"
"假日","24.914,121.147",7,1,"07:00"
"假日","24.959,121.536",7,1,"07:00"
"假日","25.024,121.302",7,1,"07:00"
"假日","25.044,121.298",7,1,"07:00"
"假日","25.050,121.288",7,1,"07:00"
"假日","24.954,121.502",7,1,"07:00"
"假日","25.055,121.617",7,1,"07:00"
"假日","25.040,121.556",7,1,"07:00"
"假日","25.096,121.520",7,1,"07:00"
"假日","25.072,121.579",7,1,"07:00"
"假日","25.023,121.415",7,1,"07:00"
"假日","24.948,121.380",7,1,"07:00"
"假日","25.011,121.215",7,1,"07:00"
"假日","24.676,121.772",7,1,"07:00"
"假日","22.639,120.295",7,1,"07:00"
"假日","25.039,121.573",7,1,"07:00"
"假日","25.168,121.447",7,1,"07:00"
"假日","25.026,121.515",7,1,"07:00"
"假日","25.128,121.498",7,1,"07:00"
"假日","25.128,121.748",7,1,"07:00"
"假日","25.092,121.518",7,1,"07:00"
"假日","24.972,121.336",7,1,"07:00"
"假日","24.754,121.055",7,1,"07:00"
"假日","24.999,121.341",7,1,"07:00"
"假日","25.005,121.442",7,1,"07:00"
"假日","22.665,120.304",7,1,"07:00"
"假日","24.063,120.682",7,1,"07:00"
"假日","23.004,120.180",7,1,"07:00"
"假日","22.983,120.229",7,1,"07:00"
"假日","25.087,121.435",7,1,"07:00"
"假日","22.640,120.297",7,1,"07:00"
"假日","24.797,121.000",7,1,"07:00"
"假日","25.041,121.586",7,1,"07:00"
"假日","25.017,121.222",7,1,"07:00"
"假日","25.034,121.292",7,1,"07:00"
"假日","25.127,121.758",7,1,"07:00"
"假日","25.103,121.529",7,1,"07:00"
"假日","25.069,121.460",7,1,"07:00"
"假日","24.994,121.425",7,1,"07:00"
"假日","24.836,121.202",7,1,"07:00"
"假日","24.196,120.597",7,1,"07:00"
"假日","25.085,121.694",7,1,"07:00"
"假日","25.082,121.597",7,1,"07:00"
"假日","25.039,121.531",7,1,"07:00"
"假日","25.055,121.366",7,1,"07:00"
"假日","24.137,120.663",7,1,"07:00"
"假日","25.048,121.526",7,1,"07:00"
"假日","25.008,121.223",7,1,"07:00"
"假日","22.971,120.208",7,1,"07:00"
"假日","25.033,121.556",7,1,"07:00"
"假日","25.050,121.567",7,1,"07:00"
"假日","24.996,121.461",7,1,"07:00"
"假日","22.620,120.310",7,1,"07:00"
"假日","25.027,121.562",7,1,"07:00"
"假日","25.062,121.528",7,1,"07:00"
"假日","25.006,121.479",7,1,"07:00"
"假日","25.042,121.536",7,1,"07:00"
"假日","24.110,120.613",7,1,"07:00"
"假日","24.947,121.382",7,1,"07:00"
"假日","25.081,121.380",7,1,"07:00"
"假日","25.094,121.526",7,1,"07:00"
"假日","25.122,121.724",7,1,"07:00"
"假日","24.931,121.282",7,1,"07:00"
"假日","25.051,121.474",7,1,"07:00"
"假日","25.073,121.371",7,1,"07:00"
"假日","25.046,121.550",7,1,"07:00"
"假日","25.046,121.544",7,1,"07:00"
"假日","25.025,121.460",7,1,"07:00"
"假日","24.790,121.014",7,1,"07:00"
"假日","25.007,121.460",7,1,"07:00"
"假日","24.972,121.334",7,1,"07:00"
"假日","25.046,121.469",7,1,"07:00"
"假日","25.183,121.437",7,1,"07:00"
"假日","25.085,121.378",7,1,"07:00"
"假日","25.033,121.530",7,1,"07:00"
"假日","25.199,121.434",7,1,"07:00"
"假日","25.030,121.528",7,1,"07:00"
"假日","24.988,121.456",7,1,"07:00"
"假日","24.933,121.193",7,1,"07:00"
"假日","24.115,120.683",7,1,"07:00"
"假日","24.174,120.699",7,1,"07:00"
"假日","25.036,121.508",7,1,"07:00"
"假日","25.085,121.375",7,1,"07:00"
"假日","23.996,121.575",7,1,"07:00"
"假日","24.959,121.305",7,1,"07:00"
"假日","24.777,120.987",7,1,"07:00"
"假日","25.069,121.289",7,1,"07:00"
"假日","25.050,121.543",7,1,"07:00"
"假日","25.076,121.384",7,1,"07:00"
"假日","24.198,120.691",7,1,"07:00"
"假日","24.832,121.015",7,1,"07:00"
"假日","24.960,121.300",7,1,"07:00"
"假日","24.914,121.187",7,1,"07:00"
"假日","24.983,121.451",7,1,"07:00"
"假日","24.822,121.028",7,1,"07:00"
"假日","25.045,121.522",7,1,"07:00"
"假日","24.791,121.013",7,1,"07:00"
"假日","24.226,120.568",7,1,"07:00"
"假日","25.063,121.631",7,1,"07:00"
"假日","25.012,121.487",7,1,"07:00"
"假日","25.057,121.614",7,1,"07:00"
"假日","25.048,121.586",7,1,"07:00"
"假日","22.640,120.295",7,1,"07:00"
"假日","25.073,121.578",7,1,"07:00"
"假日","24.995,121.491",7,1,"07:00"
"假日","25.031,121.416",7,1,"07:00"
"假日","25.087,121.695",7,1,"07:00"
"假日","23.108,120.302",7,1,"07:00"
"假日","22.570,120.341",5,1,"05:00"
"假日","24.952,121.346",5,1,"05:00"
"假日","22.616,120.301",5,1,"05:00"
"假日","25.062,121.493",5,1,"05:00"
"假日","24.218,120.571",5,1,"05:00"
"假日","22.640,120.332",5,1,"05:00"
"假日","25.013,121.206",5,1,"05:00"
"假日","25.068,121.585",5,1,"05:00"
"假日","25.024,121.458",5,1,"05:00"
"假日","24.145,120.639",5,1,"05:00"
"假日","25.067,121.290",5,1,"05:00"
"假日","24.990,121.307",5,1,"05:00"
"假日","22.720,120.280",5,1,"05:00"
"假日","25.110,121.538",5,1,"05:00"
"假日","25.016,121.402",5,1,"05:00"
"假日","22.583,120.317",5,1,"05:00"
"假日","23.002,120.188",5,1,"05:00"
"假日","24.167,120.666",5,1,"05:00"
"假日","25.064,121.660",5,1,"05:00"
"假日","24.249,120.720",5,1,"05:00"
"假日","25.077,121.380",5,1,"05:00"
"假日","25.022,121.432",5,1,"05:00"
"假日","25.058,121.545",5,1,"05:00"
"假日","22.615,120.347",5,1,"05:00"
"假日","25.003,121.485",5,1,"05:00"
"假日","24.941,121.380",5,1,"05:00"
"假日","25.184,121.422",5,1,"05:00"
"假日","24.819,121.028",5,1,"05:00"
"假日","24.950,121.388",5,1,"05:00"
"假日","25.062,121.556",5,1,"05:00"
"假日","25.038,121.576",5,1,"05:00"
"假日","24.969,121.261",5,1,"05:00"
"假日","24.989,121.539",5,1,"05:00"
"假日","25.047,121.542",5,1,"05:00"
"假日","22.614,120.302",5,1,"05:00"
"假日","24.853,121.283",5,1,"05:00"
"假日","22.643,120.332",5,1,"05:00"
"假日","25.019,121.555",5,1,"05:00"
"假日","22.668,120.295",5,1,"05:00"
"假日","24.977,121.320",5,1,"05:00"
"假日","22.661,120.301",5,1,"05:00"
"假日","24.104,120.689",5,1,"05:00"
"假日","24.955,121.239",5,1,"05:00"
"假日","25.005,121.415",5,1,"05:00"
"假日","25.082,121.483",5,1,"05:00"
"假日","24.966,121.253",5,1,"05:00"
"假日","24.956,121.352",5,1,"05:00"
"假日","25.070,121.660",5,1,"05:00"
"假日","25.030,121.422",5,1,"05:00"
"假日","24.980,121.526",5,1,"05:00"
"假日","22.988,120.198",5,1,"05:00"
"假日","23.009,120.191",5,1,"05:00"
"假日","24.960,121.306",5,1,"05:00"
"假日","25.013,121.305",5,1,"05:00"
"假日","25.076,121.435",5,1,"05:00"
"假日","25.023,121.435",5,1,"05:00"
"假日","25.047,121.541",5,1,"05:00"
"假日","24.168,120.666",5,1,"05:00"
"假日","25.043,121.546",5,1,"05:00"
"假日","25.030,121.552",5,1,"05:00"
"假日","23.024,120.223",5,1,"05:00"
"假日","25.060,121.505",5,1,"05:00"
"假日","24.239,120.565",5,1,"05:00"
"假日","25.018,121.296",5,1,"05:00"
"假日","25.008,121.200",5,1,"05:00"
"假日","25.128,121.483",5,1,"05:00"
"假日","25.108,121.856",5,1,"05:00"
"假日","24.107,120.691",5,1,"05:00"
"假日","22.633,120.310",5,1,"05:00"
"假日","25.115,121.538",5,1,"05:00"
"假日","25.014,121.541",5,1,"05:00"
"假日","22.726,120.278",5,1,"05:00"
"假日","22.999,120.154",5,1,"05:00"
"假日","25.060,121.279",5,1,"05:00"
"假日","24.906,121.153",5,1,"05:00"
"假日","25.015,121.536",5,1,"05:00"
